Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,25,2023-12-30,35-114,MIA,@,UTA,L (-8),0,19:59,4,11,.364,2,8,.250,2,4,.500,2,4,6,2,0,0,1,1,12,7.7,-7
33,26,2024-01-01,35-116,MIA,@,LAC,L (-17),0,22:30,7,11,.636,1,5,.200,2,2,1.000,2,2,4,3,0,2,1,2,17,15.8,+5
34,27,2024-01-03,35-118,MIA,@,LAL,W (+14),0,27:53,4,7,.571,0,1,.000,2,6,.333,3,11,14,3,1,1,0,3,10,13.1,+11
35,28,2024-01-05,35-120,MIA,@,PHO,L (-16),0,20:04,6,9,.667,3,6,.500,5,6,.833,3,4,7,2,0,0,2,4,20,16.8,-3
36,29,2024-01-08,35-123,MIA,,HOU,W (+7),0,23:11,4,7,.571,1,3,.333,6,7,.857,3,4,7,4,1,0,1,2,15,16.6,+5
37,30,2024-01-10,35-125,MIA,,OKC,L (-8),0,19:42,3,6,.500,0,2,.000,6,6,1.000,1,4,5,2,0,0,1,0,12,11.3,-14
38,31,2024-01-12,35-127,MIA,,ORL,W (+3),0,16:10,2,6,.333,1,4,.250,0,1,.000,1,2,3,1,1,0,1,3,5,2.0,-3
39,,2024-01-14,35-129,MIA,,CHO,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
40,,2024-01-15,35-130,MIA,@,BRK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2024-01-17,35-132,MIA,@,TOR,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,32,2024-01-19,35-134,MIA,,ATL,L (-1),0,11:52,0,5,.000,0,3,.000,0,0,,1,4,5,1,1,0,3,1,0,-3.3,-11
43,33,2024-01-21,35-136,MIA,@,ORL,L (-18),0,14:04,3,6,.500,2,5,.400,1,2,.500,3,3,6,0,0,0,1,4,9,6.0,-3
44,34,2024-01-24,35-139,MIA,,MEM,L (-9),0,5:06,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-7
45,,2024-01-25,35-140,MIA,,BOS,L (-33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,35,2024-01-27,35-142,MIA,@,NYK,L (-16),0,13:50,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,3.0,-3
47,36,2024-01-29,35-144,MIA,,PHO,L (-13),0,12:50,0,4,.000,0,4,.000,4,4,1.000,0,2,2,0,0,1,1,2,4,0.7,-16
48,37,2024-01-31,35-146,MIA,,SAC,W (+9),0,13:42,2,4,.500,2,3,.667,2,2,1.000,1,2,3,3,0,0,0,0,8,9.4,+10
49,38,2024-02-02,35-148,MIA,@,WAS,W (+8),0,15:09,4,5,.800,2,3,.667,3,4,.750,1,9,10,2,0,0,1,1,13,14.1,+16
50,39,2024-02-04,35-150,MIA,,LAC,L (-8),0,14:53,2,4,.500,2,4,.500,0,0,,0,7,7,3,0,0,2,1,6,5.8,-2
51,40,2024-02-06,35-152,MIA,,ORL,W (+26),0,15:10,3,9,.333,1,7,.143,0,0,,3,1,4,4,0,0,1,4,7,4.5,-8
52,41,2024-02-07,35-153,MIA,,SAS,W (+12),0,16:47,2,7,.286,2,6,.333,0,0,,0,6,6,0,1,1,1,3,6,3.2,0
53,42,2024-02-11,35-157,MIA,,BOS,L (-4),0,15:16,2,6,.333,1,4,.250,0,0,,1,6,7,2,0,0,1,0,5,4.5,-10
54,43,2024-02-13,35-159,MIA,@,MIL,W (+26),0,23:28,6,8,.750,5,7,.714,2,4,.500,0,8,8,3,2,0,1,2,19,19.7,+13
55,44,2024-02-14,35-160,MIA,@,PHI,W (+5),0,11:46,1,2,.500,0,1,.000,0,0,,1,5,6,1,0,0,0,1,2,3.5,+3
56,45,2024-02-23,35-169,MIA,@,NOP,W (+11),0,16:39,1,6,.167,1,5,.200,0,0,,2,6,8,1,0,1,0,5,3,1.8,+3
57,46,2024-02-26,35-172,MIA,@,SAC,W (+11),0,15:14,6,9,.667,2,3,.667,5,6,.833,1,6,7,1,0,0,1,1,19,16.5,+10
58,47,2024-02-27,35-173,MIA,@,POR,W (+10),0,14:15,3,6,.500,2,5,.400,0,0,,1,1,2,2,0,1,2,2,8,5.3,+6
59,,2024-02-29,35-175,MIA,@,DEN,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2024-03-02,35-177,MIA,,UTA,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,2024-03-05,35-180,MIA,,DET,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
62,,2024-03-07,35-182,MIA,@,DAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2024-03-08,35-183,MIA,@,OKC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2024-03-10,35-185,MIA,,WAS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,,2024-03-13,35-188,MIA,,DEN,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,2024-03-15,35-190,MIA,@,DET,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,2024-03-17,35-192,MIA,@,DET,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2024-03-18,35-193,MIA,@,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2024-03-20,35-195,MIA,@,CLE,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2024-03-22,35-197,MIA,,NOP,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2024-03-24,35-199,MIA,,CLE,W (+37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2024-03-26,35-201,MIA,,GSW,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2024-03-29,35-204,MIA,,POR,W (+60),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,,2024-03-31,35-206,MIA,@,WAS,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,48,2024-04-02,35-208,MIA,,NYK,W (+10),0,15:30,2,8,.250,2,7,.286,2,2,1.000,0,3,3,3,0,1,1,1,8,5.5,-3
76,49,2024-04-04,35-210,MIA,,PHI,L (-4),0,18:34,5,10,.500,1,6,.167,0,0,,4,12,16,4,0,0,2,2,11,12.4,+25
77,50,2024-04-05,35-211,MIA,@,HOU,W (+15),0,14:45,3,5,.600,0,1,.000,0,0,,2,3,5,0,1,0,1,3,6,4.8,+2
78,51,2024-04-07,35-213,MIA,@,IND,L (-2),0,7:29,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,2,1,2,-2.1,-7
79,52,2024-04-09,35-215,MIA,@,ATL,W (+6),0,5:59,1,4,.250,1,3,.333,0,0,,1,2,3,0,0,0,2,1,3,-0.5,-2
80,53,2024-04-10,35-216,MIA,,DAL,L (-19),0,18:18,6,9,.667,4,5,.800,0,0,,1,10,11,0,0,0,2,3,16,12.6,-1
81,54,2024-04-12,35-218,MIA,,TOR,W (+22),0,18:05,5,13,.385,2,8,.250,2,2,1.000,1,7,8,2,1,0,0,1,14,11.7,+13
82,55,2024-04-14,35-220,MIA,,TOR,W (+15),0,3:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
