Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,33,2024-01-05,29-258,MIA,@,PHO,L (-16),0,26:31,1,7,.143,1,6,.167,1,2,.500,0,1,1,3,1,1,3,3,4,-1.0,-3
36,34,2024-01-08,29-261,MIA,,HOU,W (+7),0,29:28,4,12,.333,3,10,.300,3,3,1.000,0,3,3,7,1,0,1,6,14,10.6,+2
37,35,2024-01-10,29-263,MIA,,OKC,L (-8),0,24:44,1,8,.125,1,7,.143,0,0,,0,1,1,1,2,0,1,0,3,-0.2,-18
38,36,2024-01-12,29-265,MIA,,ORL,W (+3),1,41:26,9,19,.474,4,10,.400,1,1,1.000,1,3,4,3,1,0,3,1,23,14.6,+13
39,37,2024-01-14,29-267,MIA,,CHO,W (+17),0,30:04,7,11,.636,3,6,.500,2,2,1.000,0,4,4,5,1,1,2,2,19,17.7,+12
40,38,2024-01-15,29-268,MIA,@,BRK,W (+1),0,21:48,0,4,.000,0,3,.000,0,0,,0,2,2,2,1,1,2,1,0,-1.5,-11
41,39,2024-01-17,29-270,MIA,@,TOR,L (-24),0,21:19,6,11,.545,2,5,.400,0,0,,1,2,3,1,0,0,2,0,14,8.7,-18
42,40,2024-01-19,29-272,MIA,,ATL,L (-1),0,21:37,5,8,.625,4,7,.571,0,0,,0,2,2,1,0,0,2,0,14,9.7,+6
43,41,2024-01-21,29-274,MIA,@,ORL,L (-18),0,21:14,1,6,.167,0,3,.000,4,4,1.000,0,1,1,1,2,0,2,2,6,2.4,-12
44,42,2024-01-24,29-277,MIA,,MEM,L (-9),0,15:51,3,9,.333,1,5,.200,0,0,,0,3,3,0,0,0,2,4,7,-0.8,+3
45,43,2024-01-25,29-278,MIA,,BOS,L (-33),0,20:01,2,6,.333,1,5,.200,0,0,,0,0,0,2,0,0,0,3,5,1.8,-13
46,44,2024-01-27,29-280,MIA,@,NYK,L (-16),0,26:26,6,14,.429,5,11,.455,2,2,1.000,0,1,1,3,1,0,3,4,19,10.4,-11
47,45,2024-01-29,29-282,MIA,,PHO,L (-13),0,3:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-11
48,,2024-01-31,29-284,MIA,,SAC,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2024-02-02,29-286,MIA,@,WAS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
