Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,,2023-12-30,30-106,MIA,@,UTA,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
33,,2024-01-01,30-108,MIA,@,LAC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,25,2024-01-03,30-110,MIA,@,LAL,W (+14),0,20:30,4,7,.571,2,3,.667,0,0,,0,1,1,1,0,1,0,3,10,7.2,+9
35,26,2024-01-05,30-112,MIA,@,PHO,L (-16),0,28:59,2,9,.222,1,6,.167,5,5,1.000,1,7,8,7,2,0,0,3,10,13.0,-4
36,27,2024-01-08,30-115,MIA,,HOU,W (+7),0,29:08,4,6,.667,2,3,.667,2,2,1.000,0,2,2,2,0,1,0,2,12,11.3,+1
37,28,2024-01-10,30-117,MIA,,OKC,L (-8),0,20:47,3,7,.429,2,5,.400,0,0,,0,1,1,2,1,0,2,2,8,4.2,-19
38,29,2024-01-12,30-119,MIA,,ORL,W (+3),0,25:09,4,6,.667,0,1,.000,1,1,1.000,0,1,1,2,1,0,2,2,9,6.3,-5
39,30,2024-01-14,30-121,MIA,,CHO,W (+17),0,19:32,4,8,.500,2,3,.667,1,1,1.000,1,1,2,0,0,0,1,1,11,6.6,+5
40,31,2024-01-15,30-122,MIA,@,BRK,W (+1),0,27:58,3,13,.231,2,6,.333,1,1,1.000,1,4,5,1,0,1,1,2,9,2.6,-11
41,32,2024-01-17,30-124,MIA,@,TOR,L (-24),0,23:23,2,7,.286,1,4,.250,0,0,,0,1,1,0,1,2,1,3,5,1.4,-24
42,33,2024-01-19,30-126,MIA,,ATL,L (-1),0,20:51,2,5,.400,2,4,.500,3,3,1.000,0,3,3,0,0,1,0,1,9,7.5,-9
43,34,2024-01-21,30-128,MIA,@,ORL,L (-18),0,8:51,1,4,.250,1,3,.333,0,0,,0,2,2,0,0,0,1,1,3,-0.2,-2
44,35,2024-01-24,30-131,MIA,,MEM,L (-9),1,18:07,4,7,.571,1,4,.250,0,0,,0,3,3,2,0,1,1,2,9,6.9,+6
45,36,2024-01-25,30-132,MIA,,BOS,L (-33),0,23:39,4,9,.444,0,4,.000,0,0,,1,1,2,3,1,0,0,1,8,7.0,-8
46,,2024-01-27,30-134,MIA,@,NYK,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
