Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,,2023-12-25,27-016,MIA,,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,20,2023-12-28,27-019,MIA,@,GSW,W (+12),1,18:16,1,3,.333,1,2,.500,0,0,,0,0,0,0,1,0,0,4,3,0.7,+4
32,21,2023-12-30,27-021,MIA,@,UTA,L (-8),0,26:10,1,5,.200,0,4,.000,2,2,1.000,0,6,6,1,2,1,2,2,4,3.3,+4
33,,2024-01-01,27-023,MIA,@,LAC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2024-01-03,27-025,MIA,@,LAL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2024-01-05,27-027,MIA,@,PHO,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,22,2024-01-08,27-030,MIA,,HOU,W (+7),0,15:47,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,2.9,-4
37,23,2024-01-10,27-032,MIA,,OKC,L (-8),1,35:02,7,14,.500,5,7,.714,0,0,,2,3,5,2,1,0,0,2,19,15.9,-1
38,24,2024-01-12,27-034,MIA,,ORL,W (+3),1,31:56,2,5,.400,1,3,.333,2,2,1.000,2,6,8,1,1,0,1,2,7,7.4,-5
39,25,2024-01-14,27-036,MIA,,CHO,W (+17),0,31:06,3,5,.600,1,1,1.000,0,0,,0,2,2,2,2,1,0,0,7,9.4,+11
40,26,2024-01-15,27-037,MIA,@,BRK,W (+1),0,11:57,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-16
41,27,2024-01-17,27-039,MIA,@,TOR,L (-24),0,11:32,1,2,.500,0,1,.000,0,0,,2,1,3,0,0,1,0,0,2,3.4,-19
42,28,2024-01-19,27-041,MIA,,ATL,L (-1),0,10:05,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,+1
43,29,2024-01-21,27-043,MIA,@,ORL,L (-18),0,25:00,1,3,.333,1,1,1.000,2,3,.667,0,2,2,1,2,0,0,4,5,4.6,-6
44,30,2024-01-24,27-046,MIA,,MEM,L (-9),1,24:01,3,6,.500,2,4,.500,0,0,,1,3,4,1,2,1,1,1,8,8.6,-9
45,31,2024-01-25,27-047,MIA,,BOS,L (-33),1,26:19,5,7,.714,4,4,1.000,0,0,,1,2,3,1,0,0,1,3,14,10.9,-8
