Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,4,2023-12-06,20-180,MIA,@,TOR,W (+9),0,3:18,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-3
22,,2023-12-08,20-182,MIA,,CLE,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2023-12-11,20-185,MIA,@,CHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2023-12-13,20-187,MIA,,CHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2023-12-14,20-188,MIA,,CHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2023-12-16,20-190,MIA,,CHI,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2023-12-18,20-192,MIA,,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,,2023-12-20,20-194,MIA,@,ORL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,,2023-12-22,20-196,MIA,,ATL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2023-12-25,20-199,MIA,,PHI,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,5,2023-12-28,20-202,MIA,@,GSW,W (+12),0,19:32,4,5,.800,0,1,.000,3,5,.600,2,1,3,3,1,1,0,3,11,12.6,+10
32,6,2023-12-30,20-204,MIA,@,UTA,L (-8),1,9:50,2,2,1.000,2,2,1.000,0,0,,1,1,2,1,0,0,1,5,6,4.1,+2
33,7,2024-01-01,20-206,MIA,@,LAC,L (-17),0,2:55,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.7,+3
34,8,2024-01-03,20-208,MIA,@,LAL,W (+14),1,28:05,6,11,.545,3,5,.600,0,0,,1,7,8,1,1,0,0,4,15,12.6,+3
35,9,2024-01-05,20-210,MIA,@,PHO,L (-16),1,24:16,1,3,.333,1,3,.333,0,0,,1,3,4,1,0,0,0,0,3,3.6,-10
36,10,2024-01-08,20-213,MIA,,HOU,W (+7),1,21:23,2,9,.222,1,5,.200,1,4,.250,3,5,8,6,2,2,2,3,6,7.3,+7
37,11,2024-01-10,20-215,MIA,,OKC,L (-8),1,32:35,5,8,.625,3,5,.600,2,2,1.000,0,5,5,4,1,1,1,3,15,15.2,+13
38,12,2024-01-12,20-217,MIA,,ORL,W (+3),1,24:59,1,8,.125,1,4,.250,1,2,.500,0,3,3,4,0,0,2,2,4,-0.7,-1
39,13,2024-01-14,20-219,MIA,,CHO,W (+17),1,27:52,2,6,.333,1,2,.500,0,0,,1,6,7,2,0,2,3,3,5,2.7,+13
40,14,2024-01-15,20-220,MIA,@,BRK,W (+1),1,18:44,2,4,.500,1,3,.333,0,0,,0,3,3,2,0,0,0,0,5,5.3,+17
41,15,2024-01-17,20-222,MIA,@,TOR,L (-24),1,21:01,4,9,.444,1,2,.500,1,2,.500,3,4,7,2,0,1,2,1,10,7.9,+6
42,16,2024-01-19,20-224,MIA,,ATL,L (-1),1,14:58,1,5,.200,0,1,.000,0,0,,2,1,3,0,0,0,0,2,2,-0.2,+4
43,17,2024-01-21,20-226,MIA,@,ORL,L (-18),1,15:02,1,4,.250,0,1,.000,0,1,.000,0,3,3,0,0,0,1,2,2,-1.7,-2
44,,2024-01-24,20-229,MIA,,MEM,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,18,2024-01-25,20-230,MIA,,BOS,L (-33),0,6:37,1,4,.250,1,2,.500,0,0,,2,1,3,0,0,0,1,0,3,1.3,-1
46,19,2024-01-27,20-232,MIA,@,NYK,L (-16),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
47,,2024-01-29,20-234,MIA,,PHO,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,,2024-01-31,20-236,MIA,,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,,2024-02-02,20-238,MIA,@,WAS,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,,2024-02-04,20-240,MIA,,LAC,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,,2024-02-06,20-242,MIA,,ORL,W (+26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,20,2024-02-07,20-243,MIA,,SAS,W (+12),0,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-5
53,,2024-02-11,20-247,MIA,,BOS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,21,2024-02-13,20-249,MIA,@,MIL,W (+26),1,30:29,8,13,.615,5,8,.625,3,4,.750,0,7,7,3,1,0,0,1,24,22.5,+14
55,22,2024-02-14,20-250,MIA,@,PHI,W (+5),1,14:06,1,2,.500,1,2,.500,0,0,,0,3,3,3,0,0,2,4,3,1.4,-2
56,23,2024-02-23,20-259,MIA,@,NOP,W (+11),1,20:41,1,3,.333,1,1,1.000,0,0,,0,3,3,2,0,1,1,1,3,2.9,+7
57,,2024-02-26,20-262,MIA,@,SAC,W (+11),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
58,24,2024-02-27,20-263,MIA,@,POR,W (+10),1,15:11,3,5,.600,2,4,.500,0,2,.000,0,2,2,0,0,0,0,1,8,5.1,+2
59,25,2024-02-29,20-265,MIA,@,DEN,L (-6),1,24:35,3,8,.375,1,4,.250,0,0,,0,6,6,1,2,0,3,0,7,4.1,-16
60,26,2024-03-02,20-267,MIA,,UTA,W (+6),1,18:52,3,6,.500,2,5,.400,0,0,,1,2,3,4,1,0,0,3,8,8.9,+7
61,27,2024-03-05,20-270,MIA,,DET,W (+8),1,21:22,3,5,.600,1,2,.500,1,2,.500,0,4,4,2,2,0,0,2,8,9.1,+8
62,28,2024-03-07,20-272,MIA,@,DAL,L (-6),1,15:57,2,6,.333,0,3,.000,0,0,,0,2,2,1,0,0,2,1,4,-0.5,0
63,29,2024-03-08,20-273,MIA,@,OKC,L (-7),1,29:34,2,5,.400,1,3,.333,2,2,1.000,0,8,8,3,0,2,1,1,7,8.8,+4
64,30,2024-03-10,20-275,MIA,,WAS,L (-2),1,22:53,3,6,.500,1,4,.250,3,3,1.000,1,5,6,4,1,1,1,3,10,11.5,0
65,31,2024-03-13,20-278,MIA,,DEN,L (-12),1,15:35,1,3,.333,1,2,.500,0,0,,0,1,1,1,1,0,1,1,3,1.9,+1
66,32,2024-03-15,20-280,MIA,@,DET,W (+13),1,15:17,3,6,.500,1,3,.333,0,0,,0,5,5,0,1,0,1,4,7,3.9,+1
67,,2024-03-17,20-282,MIA,@,DET,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
68,,2024-03-18,20-283,MIA,@,PHI,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
69,33,2024-03-20,20-285,MIA,@,CLE,W (+3),1,33:21,5,12,.417,4,10,.400,0,0,,0,6,6,1,0,1,1,2,14,9.0,+3
70,34,2024-03-22,20-287,MIA,,NOP,L (-23),1,18:52,4,9,.444,2,5,.400,0,0,,0,1,1,1,1,0,1,1,10,5.9,-4
71,35,2024-03-24,20-289,MIA,,CLE,W (+37),1,18:29,3,6,.500,2,4,.500,0,0,,0,0,0,1,1,0,2,3,8,3.5,+24
72,36,2024-03-26,20-291,MIA,,GSW,L (-21),1,30:55,4,11,.364,2,7,.286,1,2,.500,2,4,6,4,0,0,0,0,11,9.9,-11
73,37,2024-03-29,20-294,MIA,,POR,W (+60),1,17:17,2,3,.667,1,2,.500,0,0,,0,2,2,3,3,0,0,1,5,9.0,+17
74,38,2024-03-31,20-296,MIA,@,WAS,W (+12),1,22:27,4,9,.444,2,6,.333,2,2,1.000,2,6,8,4,1,1,0,2,12,14.2,+22
75,39,2024-04-02,20-298,MIA,,NYK,W (+10),1,25:18,1,2,.500,1,2,.500,2,2,1.000,0,3,3,6,1,0,1,1,5,8.7,+13
76,40,2024-04-04,20-300,MIA,,PHI,L (-4),1,19:50,4,9,.444,1,4,.250,2,2,1.000,0,5,5,1,0,0,2,1,11,6.1,-15
77,41,2024-04-05,20-301,MIA,@,HOU,W (+15),1,15:29,3,7,.429,2,6,.333,0,0,,0,6,6,1,0,1,1,2,8,5.7,-1
78,42,2024-04-07,20-303,MIA,@,IND,L (-2),1,24:03,6,10,.600,2,5,.400,4,4,1.000,0,2,2,0,0,0,0,2,18,13.2,+14
79,43,2024-04-09,20-305,MIA,@,ATL,W (+6),1,39:31,8,12,.667,5,8,.625,2,2,1.000,0,8,8,1,0,0,1,2,23,19.1,-1
80,44,2024-04-10,20-306,MIA,,DAL,L (-19),1,23:41,3,9,.333,0,4,.000,0,0,,1,4,5,4,0,0,1,3,6,3.4,-9
81,45,2024-04-12,20-308,MIA,,TOR,W (+22),1,26:47,9,18,.500,4,10,.400,0,0,,1,4,5,2,1,0,1,1,22,15.9,+6
82,46,2024-04-14,20-310,MIA,,TOR,W (+15),1,15:57,1,4,.250,1,4,.250,0,0,,0,3,3,1,2,0,0,2,3,3.4,-5
