Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
68,53,2024-03-22,30-005,MIA,,NOP,L (-23),1,30:56,5,14,.357,3,6,.500,0,0,,1,3,4,2,0,0,1,2,13,6.4,-3
69,54,2024-03-24,30-007,MIA,,CLE,W (+37),1,30:43,6,14,.429,0,6,.000,2,2,1.000,0,3,3,5,1,0,0,1,14,11.6,+26
70,55,2024-03-26,30-009,MIA,,GSW,L (-21),1,32:33,7,18,.389,1,6,.167,0,0,,0,4,4,2,0,1,1,3,15,6.3,-15
71,56,2024-03-29,30-012,MIA,,POR,W (+60),1,27:18,8,17,.471,6,10,.600,0,0,,0,3,3,6,1,0,1,0,22,18.4,+29
72,57,2024-03-31,30-014,MIA,@,WAS,W (+12),1,35:03,11,19,.579,5,11,.455,0,0,,0,4,4,2,4,1,0,1,27,25.0,+20
73,58,2024-04-02,30-016,MIA,,NYK,W (+10),1,34:54,10,15,.667,8,11,.727,6,6,1.000,0,5,5,3,0,1,3,0,34,28.8,+10
74,59,2024-04-04,30-018,MIA,,PHI,L (-4),1,32:51,7,20,.350,6,13,.462,2,2,1.000,1,1,2,2,1,0,3,1,22,10.8,-24
75,60,2024-04-05,30-019,MIA,@,HOU,W (+15),1,24:46,4,10,.400,3,4,.750,2,3,.667,0,3,3,3,2,0,1,1,13,10.8,+6
76,61,2024-04-07,30-021,MIA,@,IND,L (-2),1,21:45,2,7,.286,0,1,.000,0,0,,0,0,0,4,2,0,0,2,4,3.9,-3
77,,2024-04-09,30-023,MIA,@,ATL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,,2024-04-10,30-024,MIA,,DAL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,2024-04-12,30-026,MIA,,TOR,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2024-04-14,30-028,MIA,,TOR,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
