Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,26,2024-01-01,32-165,DET,@,HOU,L (-23),0,22:42,6,11,.545,3,6,.500,6,6,1.000,0,2,2,2,1,1,2,2,21,16.6,-10
34,27,2024-01-03,32-167,DET,@,UTA,L (-6),0,34:14,9,17,.529,5,9,.556,4,5,.800,0,4,4,1,0,0,2,4,27,16.6,-12
35,28,2024-01-05,32-169,DET,@,GSW,L (-4),0,21:22,5,14,.357,3,10,.300,0,0,,1,3,4,2,0,1,2,2,13,6.1,+9
36,29,2024-01-07,32-171,DET,@,DEN,L (-17),0,19:50,6,9,.667,3,3,1.000,3,3,1.000,1,3,4,1,0,0,1,1,18,15.0,-16
37,30,2024-01-09,32-173,DET,,SAC,L (-21),0,20:10,5,11,.455,3,7,.429,3,5,.600,0,3,3,1,1,0,2,0,16,10.1,-15
38,31,2024-01-10,32-174,DET,,SAS,L (-22),0,19:35,5,13,.385,1,5,.200,4,4,1.000,0,2,2,2,0,0,1,1,15,8.5,-15
39,32,2024-01-12,32-176,DET,,HOU,L (-2),0,29:56,7,14,.500,5,9,.556,0,0,,0,0,0,1,0,2,2,3,19,10.9,-11
40,33,2024-01-15,32-179,DET,@,WAS,W (+12),0,28:37,11,17,.647,8,12,.667,4,4,1.000,0,2,2,2,0,0,1,2,34,26.7,+18
41,34,2024-01-17,32-181,DET,,MIN,L (-7),0,20:28,3,10,.300,1,4,.250,5,5,1.000,1,0,1,1,2,0,0,1,12,9.2,-10
42,35,2024-01-20,32-184,DET,,MIL,L (-6),0,29:53,9,20,.450,7,14,.500,8,8,1.000,0,7,7,6,1,0,0,2,33,29.1,+24
43,36,2024-01-22,32-186,DET,,MIL,L (-9),0,27:30,3,12,.250,3,9,.333,0,0,,0,2,2,3,0,0,1,4,9,1.9,0
44,37,2024-01-24,32-188,DET,,CHO,W (+7),0,25:51,4,11,.364,4,9,.444,3,4,.750,0,0,0,1,0,0,0,1,15,8.8,+5
45,38,2024-01-27,32-191,DET,,WAS,L (-14),0,17:58,2,9,.222,1,5,.200,3,4,.750,0,4,4,0,0,0,0,1,8,2.9,-11
46,39,2024-01-28,32-192,DET,,OKC,W (+16),0,25:58,3,5,.600,2,3,.667,2,2,1.000,0,6,6,2,3,0,3,1,10,10.5,+18
47,40,2024-01-31,32-195,DET,@,CLE,L (-7),0,29:47,3,5,.600,1,3,.333,4,4,1.000,0,4,4,6,0,1,2,2,11,12.0,+2
48,41,2024-02-02,32-197,DET,,LAC,L (-11),0,20:46,2,10,.200,1,7,.143,1,1,1.000,1,1,2,1,1,1,1,0,6,2.2,-13
49,42,2024-02-04,32-199,DET,,ORL,L (-12),0,19:32,3,7,.429,1,3,.333,3,3,1.000,0,3,3,1,1,0,1,0,10,7.9,-2
50,43,2024-02-07,32-202,DET,@,SAC,W (+13),0,28:26,7,12,.583,5,7,.714,6,6,1.000,0,7,7,2,0,0,0,3,25,21.7,+12
51,,2024-02-08,32-203,NYK,,DAL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,44,2024-02-10,32-205,NYK,,IND,L (-14),0,21:59,7,14,.500,4,7,.571,4,4,1.000,0,2,2,1,0,0,3,1,22,12.9,-4
53,45,2024-02-12,32-207,NYK,@,HOU,L (-2),0,16:55,1,8,.125,1,5,.200,2,2,1.000,1,0,1,2,0,0,1,1,5,0.5,-3
54,46,2024-02-14,32-209,NYK,@,ORL,L (-18),1,30:10,5,16,.313,2,6,.333,1,2,.500,1,2,3,0,0,0,1,3,13,2.5,-28
55,47,2024-02-22,32-217,NYK,@,PHI,W (+14),0,13:22,2,5,.400,2,4,.500,1,3,.333,0,1,1,1,0,0,1,0,7,3.5,+1
56,48,2024-02-24,32-219,NYK,,BOS,L (-14),0,18:55,3,11,.273,1,7,.143,0,0,,0,3,3,0,0,0,1,1,7,0.0,-13
57,49,2024-02-26,32-221,NYK,,DET,W (+2),0,14:00,3,9,.333,1,3,.333,0,1,.000,1,0,1,1,1,0,2,1,7,1.5,+8
58,50,2024-02-27,32-222,NYK,,NOP,L (-23),0,16:20,1,7,.143,0,2,.000,0,0,,0,2,2,1,0,1,0,0,2,-0.5,-1
59,51,2024-02-29,32-224,NYK,,GSW,L (-11),0,11:13,2,6,.333,1,3,.333,0,0,,1,1,2,1,0,0,0,0,5,3.3,+6
60,52,2024-03-03,32-227,NYK,@,CLE,W (+9),0,11:20,2,6,.333,1,3,.333,3,4,.750,0,1,1,1,0,0,0,0,8,5.2,-7
61,53,2024-03-05,32-229,NYK,,ATL,L (-16),0,11:42,5,14,.357,1,7,.143,0,1,.000,1,1,2,1,1,0,0,0,11,5.5,-12
62,54,2024-03-08,32-232,NYK,,ORL,W (+24),0,5:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
63,55,2024-03-10,32-234,NYK,,PHI,L (-6),0,11:58,1,3,.333,1,3,.333,2,2,1.000,0,1,1,0,0,0,1,0,5,2.6,-7
64,56,2024-03-12,32-236,NYK,,PHI,W (+27),0,11:34,1,6,.167,0,4,.000,0,0,,0,2,2,1,0,0,0,0,2,-0.5,-7
65,57,2024-03-14,32-238,NYK,@,POR,W (+12),0,4:18,2,5,.400,1,2,.500,0,0,,1,0,1,0,0,0,1,1,5,1.6,-1
66,58,2024-03-16,32-240,NYK,@,SAC,W (+7),0,18:21,4,10,.400,2,5,.400,2,2,1.000,1,2,3,2,0,0,0,1,12,8.9,+13
67,59,2024-03-18,32-242,NYK,@,GSW,W (+7),0,14:15,1,5,.200,1,3,.333,2,2,1.000,0,1,1,1,0,0,0,0,5,2.9,-2
68,60,2024-03-21,32-245,NYK,@,DEN,L (-13),0,20:33,5,11,.455,3,6,.500,5,7,.714,0,5,5,1,2,0,3,1,18,12.3,+4
69,61,2024-03-23,32-247,NYK,,BRK,W (+12),0,15:11,2,9,.222,1,5,.200,0,1,.000,1,1,2,1,0,0,0,0,5,0.8,0
70,,2024-03-25,32-249,NYK,,DET,W (+25),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
71,,2024-03-27,32-251,NYK,@,TOR,W (+44),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2024-03-29,32-253,NYK,@,SAS,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,62,2024-03-31,32-255,NYK,,OKC,L (-1),0,12:25,2,8,.250,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,1.5,-9
74,63,2024-04-02,32-257,NYK,@,MIA,L (-10),0,3:15,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-6
75,64,2024-04-04,32-259,NYK,,SAC,W (+11),0,8:31,0,1,.000,0,0,,0,0,,0,0,0,0,2,0,0,0,0,1.3,+9
76,65,2024-04-05,32-260,NYK,@,CHI,L (-8),0,8:10,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.2,-6
77,,2024-04-07,32-262,NYK,@,MIL,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,,2024-04-09,32-264,NYK,@,CHI,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,,2024-04-11,32-266,NYK,@,BOS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,66,2024-04-12,32-267,NYK,,BRK,W (+4),0,11:28,1,4,.250,1,2,.500,2,2,1.000,0,1,1,4,1,0,1,0,5,5.7,-3
81,,2024-04-14,32-269,NYK,,CHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
